Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,Michael,Obrien,8759422956,carterpatricia@example.net,Ashley Wright,New Sales,18384,23384,Cash,937,2022-07-17,N/A,0,16GB,685,Offline,Low,0,570,21010,1TB
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,Kevin,Romero,(430)332-4476,tfreeman@example.com,Tonya Nolan,Repairs,18950,23116,Finance,50,2024-01-13,2024-02-12,5166,16GB,786,Online,High,3465,380,22010,1TB
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,Sarah,Mcconnell,(474)419-1030,richardsshelley@example.com,Alyssa Martinez,Repairs,15215,19439,Cash,286,2021-11-22,N/A,0,2GB,401,Offline,Medium,1981,146,17913,256GB
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,Sarah,King,(628)735-7206,nealrebecca@example.com,Lisa Graham,Returns,14132,16444,Cash,132,2023-10-07,N/A,0,4GB,656,Offline,High,0,856,15699,1TB
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,Gregory,Brown,900-400-3165x799,roberthebert@example.net,Allen Juarez,Second-hand Sales,12365,15254,Bank Transfer,984,2023-10-24,2023-11-04,0,16GB,488,Online,Medium,0,549,13599,256GB
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,Karen,Nguyen,268.968.3311x03727,simmonsdillon@example.com,Max Mccann,New Sales,12187,14372,Finance,549,2021-05-21,N/A,43712,8GB,573,Offline,Low,0,781,13327,500GB
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,Alexis,Gray,968-253-8760,sawyermark@example.com,Madison Davis,Repairs,19899,23008,Cash,502,2022-10-10,2022-10-18,0,4GB,676,Online,Medium,3902,762,22285,256GB
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,Garrett,Jones,373-794-7580x20731,ricky11@example.com,Joseph Good,Repairs,26911,30154,Cash,439,2022-01-25,2022-02-02,0,2GB,550,Online,Medium,3962,1000,30047,256GB
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,Christina,Little,(867)493-2795x5301,fjohnson@example.com,Amber Montgomery,Second-hand Sales,2688,5948,Bank Transfer,894,2023-02-08,N/A,0,2GB,473,Offline,High,0,321,3130,1TB
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,Daniel,Lee,+1-596-996-3259x547,lauriecastillo@example.com,Daniel Lane,Repairs,19245,23505,Finance,555,2023-09-29,N/A,3330,2GB,434,Offline,Low,1783,850,20130,256GB
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,Desiree,Garza,354-460-5679,carlos96@example.com,Kevin Lee,Returns,6466,9048,Cash,803,2023-07-06,2023-07-14,0,16GB,685,Online,Low,0,955,8823,500GB
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,Joshua,Adams,423-668-1647,fdaniels@example.org,Amy Owens,New Sales,24519,26768,Finance,201,2023-04-29,2023-05-21,29024,16GB,782,Online,Medium,0,983,26325,1TB
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,Shane,Brown,(752)070-2331,melissa64@example.com,Mary Fisher,Repairs,23367,27513,Cash,232,2021-08-12,N/A,0,4GB,423,Offline,Medium,4570,378,24109,1TB
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,Logan,Perez,(923)603-3333,gregory66@example.org,Julia Dodson,Second-hand Sales,21946,25723,Bank Transfer,203,2022-08-19,N/A,0,8GB,533,Offline,Medium,0,661,23419,500GB
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,Kim,Love,1910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,26724,31139,Cash,150,2021-09-29,N/A,0,16GB,446,Offline,Low,0,822,28481,256GB
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,Ryan,Curtis,016.137.8479,gregory28@example.net,David Osborn,Returns,5318,7653,Cash,6,2023-12-14,N/A,0,4GB,715,Offline,High,0,876,7199,256GB
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,Sharon,Pena,497.727.4314x534,cookjoshua@example.net,Jason Gentry,Repairs,18832,21802,Finance,201,2023-05-06,N/A,28027,4GB,405,Offline,Low,3346,132,19928,256GB
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,Nathaniel,Marshall,+1-542-502-1275x57882,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,6885,8948,Bank Transfer,383,2023-08-08,2023-09-05,0,2GB,529,Online,High,0,472,7482,500GB
